,Feature,TopK,Soft(ATTENTION limit),Soft(ZEROOUT limit),Soft(NOISE limit)
0,attention,0.6610973597359736,0.6641914191419142,0.5253712871287128,0.5691006600660066
1,scaled attention,0.6629537953795379,0.6691419141914191,0.4278052805280528,0.36922442244224424
2,gradients,0.6953382838283828,0.6947194719471947,0.411509900990099,0.6421204620462047
3,ig,0.7062706270627063,0.7114273927392739,0.6759488448844885,0.6852310231023102
4,deeplift,0.6384075907590759,0.6396452145214522,0.6619224422442245,0.6289191419141914
