,feature,Soft_sufficiency,Suff_ratio,Soft_comprehensiveness,Comp_ratio
0,random,0.9370591154373911,1.0,0.059160176801426004,1.0
1,attention,0.8184074309281121,0.8733786561012259,0.050085752832243,0.846612629309041
2,scaled attention,0.8082058655277221,0.8624918665355236,0.040286197113571,0.6809681662851275
3,gradients,0.8397840424479651,0.8961911032218913,0.059824457725564,1.0112285148566693
4,ig,0.9225816023206571,0.9845500535897607,0.084397361888272,1.426590765128303
5,deeplift,0.9409633061621531,1.0041664294818151,0.077515056638813,1.3102573526613357
