,feature,Soft_sufficiency,Suff_ratio,Soft_comprehensiveness,Comp_ratio
0,random,0.13808860277968601,1.0,0.11833302358158801,1.0
1,attention,0.130577640719475,0.9456076612477975,0.635742873717496,5.372489052298789
2,scaled attention,0.131597500665286,0.9529932088258126,0.6334327487429321,5.3529668183133525
3,gradients,0.139818740631692,1.0125291864583954,0.306223908387507,2.5878144504299967
4,ig,0.146900100110153,1.0638104604804013,0.326750610463638,2.7612799924642397
5,deeplift,0.15970900183862902,1.1565690333867549,0.29488382642911304,2.491982521056746
