,0,1,2,accuracy,macro avg,weighted avg,epoch,point,dev_loss,model-name
precision,0.6644736842105263,0.44554455445544555,0.5949820788530465,0.6038011695906432,0.568333439173006,0.5861001219165989,1,966,3.423209900047347,/home/cass/PycharmProjects/BP-rationales/trained_models/evinf/bert5.pt
recall,0.7318840579710145,0.26627218934911245,0.694560669456067,0.6038011695906432,0.5642389722587313,0.6038011695906432,1,966,3.423209900047347,/home/cass/PycharmProjects/BP-rationales/trained_models/evinf/bert5.pt
f1-score,0.6965517241379311,0.33333333333333337,0.640926640926641,0.6038011695906432,0.5569372327993017,0.5873729186796338,1,966,3.423209900047347,/home/cass/PycharmProjects/BP-rationales/trained_models/evinf/bert5.pt
support,276.0,169.0,239.0,0.6038011695906432,684.0,684.0,1,966,3.423209900047347,/home/cass/PycharmProjects/BP-rationales/trained_models/evinf/bert5.pt
