,0,1,2,accuracy,macro avg,weighted avg,epoch,point,dev_loss,model-name
precision,0.38095238095238093,0.631578947368421,0.4423076923076923,0.4583333333333333,0.48494634020949806,0.4974833585030953,3,36,4.151990844143762,/home/cass/PycharmProjects/BP-rationales/trained_models/evinf_FA/scibert5.pt
recall,0.23529411764705882,0.22641509433962265,0.8070175438596491,0.4583333333333333,0.4229089186154435,0.4583333333333333,3,36,4.151990844143762,/home/cass/PycharmProjects/BP-rationales/trained_models/evinf_FA/scibert5.pt
f1-score,0.29090909090909084,0.3333333333333333,0.5714285714285714,0.4583333333333333,0.39855699855699855,0.41756253006253,3,36,4.151990844143762,/home/cass/PycharmProjects/BP-rationales/trained_models/evinf_FA/scibert5.pt
support,34.0,53.0,57.0,0.4583333333333333,144.0,144.0,3,36,4.151990844143762,/home/cass/PycharmProjects/BP-rationales/trained_models/evinf_FA/scibert5.pt
