,sci15,sci20,sci5,sci25,sci10,mean-f1,std-f1,mean-ece,std-ece
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf/scibert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf/scibert20.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf/scibert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf/scibert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf/scibert10.pt,0.8233683533356848,0.022507960173937438,0.11575792494747372,0.012710405003699254
f1,0.8502912269248903,0.7922774422110203,0.8014797877220294,0.8330074890366738,0.8397858207838104,0.8233683533356848,0.022507960173937438,0.11575792494747372,0.012710405003699254
loss,2.5450283866789607,2.46038350198004,2.7478890200455983,2.585147869255808,2.788212623861101,0.8233683533356848,0.022507960173937438,0.11575792494747372,0.012710405003699254
ece-score,0.09314038803180057,0.11708383870621525,0.1272653892222378,0.11309439928995238,0.12820560948716267,0.8233683533356848,0.022507960173937438,0.11575792494747372,0.012710405003699254
