,feature,Soft_sufficiency,Suff_ratio,Soft_comprehensiveness,Comp_ratio
0,random,0.9287655799691221,1.0,0.07827592846587701,1.0
1,attention,0.906769044081641,0.976316374807718,0.059186129749928006,0.7561217210694491
2,scaled attention,0.900152236583697,0.969192071710521,0.049711262640234004,0.6350772659554558
3,gradients,0.908843084350139,0.978549489721997,0.055657550593666005,0.7110429947557749
4,ig,0.9246648492060081,0.9955847515761186,0.084763775278323,1.0828843162847215
5,deeplift,0.9156829003894651,0.985913905659497,0.072581289080626,0.927249162074986
