,0,1,2,3,4,5,accuracy,macro avg,weighted avg,epoch,point,dev_loss,model-name
precision,0.5641025641025641,0.5,0.38741721854304634,0.6478260869565218,0.25,0.0,0.5525,0.39155764493368866,0.4938583791076953,2,0,9.66582858774397,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews_conti/bert20.pt
recall,0.761144377910845,0.022058823529411766,0.39593908629441626,0.8526466380543634,0.0200445434298441,0.0,0.5525,0.3419722448698134,0.5525,2,0,9.66582858774397,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews_conti/bert20.pt
f1-score,0.64797507788162,0.04225352112676056,0.3916317991631799,0.7362569487337863,0.03711340206185568,0.0,0.5525,0.30920512482786705,0.48560039383296744,2,0,9.66582858774397,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews_conti/bert20.pt
support,1503.0,272.0,591.0,699.0,449.0,86.0,0.5525,3600.0,3600.0,2,0,9.66582858774397,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews_conti/bert20.pt
