,Feature,D - TopK sufficiencies @ 0.2,ABS D - TopK sufficiencies @ 0.2,TopK sufficiencies @ 0.2,D - Soff(ZEROOUT) sufficiencies @ 0.2,ABS D - Soff(ZEROOUT) sufficiencies @ 0.2,Soff(ZEROOUT) sufficiencies @ 0.2,D - Soff(NOISE) sufficiencies @ 0.2,ABS D - Soff(NOISE) sufficiencies @ 0.2,Soff(NOISE) sufficiencies @ 0.2,D - Soff(ATTENTION) sufficiencies @ 0.2,ABS D - Soff(ATTENTION) sufficiencies @ 0.2,Soff(ATTENTION) sufficiencies @ 0.2
0,attention,0.7440966501922021,0.3940237553514146,,0.6518396485447556,0.38221388660508193,,0.01043382756727073,0.39448731939171444,,0.7440966501922021,0.006138009073961277,
1,scaled attention,0.7462932454695222,0.39723616058215433,,0.6375617792421746,0.41173505160246876,,0.01043382756727073,0.39920799433196363,,0.7473915431081823,0.0062499152882398365,
2,gradients,0.6518396485447556,0.2477187949471503,,0.6326194398682042,0.33724766141782103,,0.008786381109280615,0.24986290838762973,,0.6540362438220758,0.0025063955501427792,
3,ig,0.7402526084568918,0.3712951595214132,,0.6540362438220758,0.33630771824253725,,0.009884678747940691,0.37242227605225053,,0.7413509060955519,0.003997212171127662,
4,deeplift,0.7056562328390994,0.31904713891035213,,0.5815485996705108,0.2533979259239444,,0.01043382756727073,0.31997432478199705,,0.7062053816584294,0.004088700668504173,
