,Feature,TopK,Soft(ATTENTION),Soft(ZEROOUT),Soft(NOISE1)
0,attention,0.6930258099945085,0.45359692476661173,0.26084568918176826,0.40197693574958815
1,scaled attention,0.6946732564524987,0.45359692476661173,0.2355848434925865,0.342668863261944
2,gradients,0.5645249862712796,0.45359692476661173,0.2591982427237781,0.3882482152663372
3,ig,0.7073036792970895,0.45359692476661173,0.4634816035145524,0.5634266886326195
4,deeplift,0.6348160351455244,0.45359692476661173,0.33058758923668313,0.5656232839099395
