,0,1,accuracy,macro avg,weighted avg,epoch,point,dev_loss,model-name
precision,0.7445339470655926,0.6829268292682927,0.716241443683883,0.7137303881669427,0.7167014843892768,1,2003,2.3444108120096265,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/multirc/roberta20.pt
recall,0.7343927355278093,0.6942148760330579,0.716241443683883,0.7143038057804336,0.716241443683883,1,2003,2.3444108120096265,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/multirc/roberta20.pt
f1-score,0.7394285714285714,0.6885245901639344,0.716241443683883,0.7139765807962529,0.7164315021080199,1,2003,2.3444108120096265,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/multirc/roberta20.pt
support,1762.0,1452.0,0.716241443683883,3214.0,3214.0,1,2003,2.3444108120096265,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/multirc/roberta20.pt
