,sci15,sci20,sci5,sci25,sci10,mean-f1,std-f1,mean-ece,std-ece
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf_conti/scibert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf_conti/scibert20.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf_conti/scibert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf_conti/scibert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf_conti/scibert10.pt,0.06978981103142616,0.02078914978894248,0.38696838439338743,0.03942667962484771
f1,0.09996200859112708,0.04016165698408689,0.0714967980028221,0.08221618409452223,0.055112407484572495,0.06978981103142616,0.02078914978894248,0.38696838439338743,0.03942667962484771
loss,9.700960037443373,8.377125238047705,8.046689568625556,8.384814924663967,8.43032497829861,0.06978981103142616,0.02078914978894248,0.38696838439338743,0.03942667962484771
ece-score,0.3674860785818762,0.4413894782877631,0.3267725980530183,0.38396664108667106,0.41522712595760825,0.06978981103142616,0.02078914978894248,0.38696838439338743,0.03942667962484771
