,10,5,15,mean-f1,std-f1,mean-ece,std-ece
model,/jmain01/home/JAD009/txk20/gxc78-txk20/variable_rationale_2021/trained_models/sst/bert10.pt,/jmain01/home/JAD009/txk20/gxc78-txk20/variable_rationale_2021/trained_models/sst/bert5.pt,/jmain01/home/JAD009/txk20/gxc78-txk20/variable_rationale_2021/trained_models/sst/bert15.pt,0.9013790071672881,0.0027000668093296073,0.04375428765461209,0.006914344275823734
f1,0.8976026072024572,0.9037567412562617,0.9027776730431456,0.9013790071672881,0.0027000668093296073,0.04375428765461209,0.006914344275823734
loss,2.22171860541168,2.125513871151366,1.9977520061820222,0.9013790071672881,0.0027000668093296073,0.04375428765461209,0.006914344275823734
ece-score,0.05312519391639623,0.036649780571951736,0.04148788847548831,0.9013790071672881,0.0027000668093296073,0.04375428765461209,0.006914344275823734
