,feature,Soft_sufficiency,Suff_ratio,Soft_comprehensiveness,Comp_ratio
0,random,0.928784109953346,1.0,0.06840570965435201,1.0
1,attention,0.8975065966675511,0.9663242373005648,0.039903362120052,0.5833337936508539
2,scaled attention,0.8938972113917301,0.9624380970908639,0.044355366719365005,0.6484161474749511
3,gradients,0.8998606661476091,0.9688588085263541,0.05667763479872501,0.8285512289122073
4,ig,0.9317370861345441,1.003179399980633,0.07284430208192001,1.0648862858085357
5,deeplift,0.9238229879156111,0.9946584766205958,0.06609386197907301,0.9662038784925913
