,feature,Soft_sufficiency,Suff_ratio,Soft_comprehensiveness,Comp_ratio
0,random,0.14377461490392102,1.0,0.529450091448176,1.0
1,attention,0.13728769855908401,0.95488135127907,0.596045671490918,1.1257825451698134
2,scaled attention,0.13626292558090902,0.9477537162729891,0.595478664021136,1.1247116085906335
3,gradients,0.15547364057298202,1.0813705929720556,0.6113502007913111,1.1546890078328595
4,ig,0.16721973889636202,1.1630685918241441,0.621394532446325,1.17366026086927
5,deeplift,0.144280352450938,1.0035175719118077,0.5846347616531,1.1042301646487214
