,feature,Soft_sufficiency,Suff_ratio,Soft_comprehensiveness,Comp_ratio
0,random,0.535384648041446,1.0,0.304928118663126,1.0
1,attention,0.30798623997607405,0.5752616200385181,0.36991372800343003,1.2131177984674408
2,scaled attention,0.221079135386674,0.41293514148272603,0.335516296117214,1.1003127477655832
3,gradients,0.30527498442096,0.5701974935921726,0.266811961306958,0.8749995326004112
4,ig,0.5784839005113931,1.0805014724042117,0.442960729864026,1.4526726226694548
5,deeplift,0.32680604036876404,0.6104135439151868,0.5733008691929701,1.8801180806363513
