,feature, AOPC_sufficiency,Suff_ratio,AOPC_comprehensiveness,Comp_ratio
0,random,0.28269375595704305,1.0,0.15717483077174801,1.0
1,attention,0.35114748509721405,1.242148005386341,0.21721349999635503,1.3819865364563122
2,scaled attention,0.352113135167862,1.245563892898178,0.215816976876906,1.373101379000809
3,gradients,0.298342384895938,1.0553554106135716,0.186457623442802,1.1863071366278675
4,ig,0.37397705643282303,1.3229052589674142,0.27857462022227303,1.7723869582326695
5,deeplift,0.33110154799371705,1.171237570751403,0.212925382361346,1.3547040662671996
