,15,5,10,25,20,mean-f1,std-f1,mean-ece,std-ece
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert10.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert20.pt,0.9352207292155581,0.0011251611484402897,0.039951954211843624,0.004412027690450728
f1,0.9338700045080762,0.9339115974328043,0.9365769417109777,0.9356460576982278,0.9360990447277043,0.9352207292155581,0.0011251611484402897,0.039951954211843624,0.004412027690450728
loss,1.954305182444422,2.082239919085252,1.8183075502044277,1.7450320735103206,1.8206149876117705,0.9352207292155581,0.0011251611484402897,0.039951954211843624,0.004412027690450728
ece-score,0.04247650306083656,0.046746028383311426,0.03882397170913844,0.0336226341324417,0.038090633773489965,0.9352207292155581,0.0011251611484402897,0.039951954211843624,0.004412027690450728
