,0,1,2,3,accuracy,macro avg,weighted avg,epoch,point,dev_loss,model-name
precision,0.9017140377522239,0.9106194690265487,0.9772009029345372,0.9518126548074758,0.9348888888888889,0.9353367661301963,0.9349576567921228,2,0,1.808806971444024,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert20.pt
recall,0.9132058888156449,0.9062087186261559,0.9838636363636364,0.9378744175726648,0.9348888888888889,0.9352881653445255,0.9348888888888889,2,0,1.808806971444024,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert20.pt
f1-score,0.9074235807860261,0.9084087397925403,0.9805209513023783,0.9447921323200715,0.9348888888888889,0.935286351050254,0.9348970854662194,2,0,1.808806971444024,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert20.pt
support,4551.0,4542.0,4400.0,4507.0,0.9348888888888889,18000.0,18000.0,2,0,1.808806971444024,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert20.pt
