,0,1,2,3,accuracy,macro avg,weighted avg,epoch,point,dev_loss,model-name
precision,0.9326765188834154,0.8920863309352518,0.9686597021560347,0.943927304964539,0.9338333333333333,0.9343374642348102,0.9340472225282259,2,0,2.0032829932106866,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert5.pt
recall,0.8736541419468249,0.9282254513430207,0.9904545454545455,0.9449744841357888,0.9338333333333333,0.934327155720045,0.9338333333333333,2,0,2.0032829932106866,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert5.pt
f1-score,0.9022010437939642,0.9097971514889943,0.9794358916732219,0.9444506042798535,0.9338333333333333,0.9339711728090084,0.9335762449567121,2,0,2.0032829932106866,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert5.pt
support,4551.0,4542.0,4400.0,4507.0,0.9338333333333333,18000.0,18000.0,2,0,2.0032829932106866,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/agnews/bert5.pt
