,15,5,10,25,20,mean-f1,std-f1,mean-ece,std-ece
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/sst_top/bert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/sst_top/bert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/sst_top/bert10.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/sst_top/bert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/sst_top/bert20.pt,0.10469891649603036,0.01715080637022044,0.07210972428583692,0.03790509054564524
f1,0.09567459028240394,0.11121640785060033,0.12770467440480174,0.07702150588757349,0.11187740405477231,0.10469891649603036,0.01715080637022044,0.07210972428583692,0.03790509054564524
loss,13.170096907699318,13.39348892579999,13.325355630171927,13.393271584259836,13.28159545178999,0.10469891649603036,0.01715080637022044,0.07210972428583692,0.03790509054564524
ece-score,0.0555751992247381,0.07140790738619532,0.04061331757472675,0.1451106149046582,0.04784158233886625,0.10469891649603036,0.01715080637022044,0.07210972428583692,0.03790509054564524
