,Set,F-Comp,F-SoftComp,Comprehensiveness,Soft-Comprehensiveness
0,0,0.0,0.0,0.48018486440181735,0.45521076511591674
1,1,0.15223233162635236,0.44350303719118306,0.45483133116504176,0.4932198650948703
2,2,0.06922622857339708,0.07071463064845723,0.46865558236138893,0.46127115081995723
3,3,0.5120924198812445,0.47089929008582676,0.39489843379240486,0.41485375130549074
4,4,0.7027815357115095,0.5535278683293838,0.36314011554000897,0.4077723163925111
5,5,0.9993995616697497,0.5262999344117233,0.3137398672522977,0.4101058049499989
6,6,0.9993995616697497,0.5587947852005339,0.3137398672522977,0.4073209310509264
