,Set,F-Comp,F-SoftComp,Comprehensiveness,Soft-Comprehensiveness
0,0,0.0,0.0,0.49669285118579865,0.5084187482576817
1,1,0.3177061115601465,0.24044480938340487,0.5817615333944559,0.5392458048462868
2,2,0.41827259415087614,0.33288454680636576,0.6086891178414225,0.5510973604023457
3,3,0.5801826927828219,0.6875623890405621,0.6520420097932219,0.5965700571984053
4,4,0.654882772670607,0.6421633101109093,0.6720436311839149,0.5907495116069913
5,5,1.0003734701223899,1.1122195894541334,0.7645518873305991,0.6510146991163492
6,6,1.0003734701223899,1.2578859120517516,0.7645518873305991,0.6696903527155519
