,Set,F-Comp,F-SoftComp,Comprehensiveness,Soft-Comprehensiveness
0,0,0.0,0.0,0.6276221088573063,1.0
1,1,0.75954012201977,0.6915008499466536,0.301053867382091,0.771471562810223
2,2,0.9233481171830662,0.8446716846137137,0.230623764522211,0.7208513915230621
3,3,0.9306277670686138,0.8203041123060942,0.227493841042518,0.7289044303848347
4,4,0.9997674176403106,1.1577929907283098,0.19776688725978925,0.6173705024645588
5,5,0.9997674176403106,1.0493089539884817,0.19776688725978925,0.6532225008794614
6,6,0.9997674176403104,0.9996974114650894,0.19776688725978928,0.6696182121505606
