,Set,F-Comp,F-SoftComp,Comprehensiveness,Soft-Comprehensiveness
0,0,0.0,0.0,0.4708718659008528,0.4671194408595392
1,1,0.298912689730123,0.23831328539056262,0.37249716376797165,0.4046958452322613
2,2,0.5713648567445065,0.5152923335613615,0.28283084414903265,0.3321441699368354
3,3,0.7835853157833141,0.7528616748879523,0.21298729062410482,0.2699154424359508
4,4,0.9050002338964895,0.8991936168583575,0.17302861100211986,0.23158536797978033
5,5,0.9996961488235804,1.036465605422408,0.14186338200978768,0.19562845063448345
6,6,0.9996961488235804,0.9996182320435153,0.14186338200978768,0.2052802228047244
