,Set,F-Comp,F-SoftComp,Comprehensiveness,Soft-Comprehensiveness
0,0,0.0,0.0,0.510979010455776,0.4685177221149206
1,1,0.36291407740434195,0.17072194368541402,0.37309453516907526,0.42307526207878254
2,2,0.6163950397534252,0.4821054794710663,0.2767877461388707,0.34019175234716387
3,3,0.7583781558003343,0.7960418065042155,0.22284311110095587,0.2566287452308461
4,4,0.8812453601997173,0.8336111214358348,0.17616131763148588,0.24662861252669244
5,5,0.9997367984491005,0.9619428250531954,0.13114203949866352,0.2124695103801787
6,6,0.9997367984491005,0.9996243118362218,0.13114203949866352,0.20243951997428666
