,Set,F-Comp,F-SoftComp,Comprehensiveness,Soft-Comprehensiveness
0,0,0.0,0.0,0.3461431027417688,0.6693641932755935
1,1,2.12414255391808e-09,0.005678772277793552,0.34614310363975476,0.6704060622248346
2,2,2.12414255391808e-09,0.018380797874731937,0.34614310363975476,0.6727364684138035
3,3,0.10879931291188924,,0.3921382529441655,
4,4,0.14908972744834487,,0.4091711148136323,
5,5,0.3576787081862965,0.019515536867050893,0.49735256782865866,0.665783730651822
6,6,1.000023654518451,1.0000545056293495,0.7689053147860279,0.8528414813222075
