,Feature,TopK,Soft(ATTENTION limit),Soft(ZEROOUT limit),Soft(NOISE limit)
0,attention,0.8703947368421052,0.8703947368421052,0.2773684210526316,0.8752631578947369
1,scaled attention,0.8630263157894736,0.8532894736842105,0.22605263157894737,0.7919736842105263
2,gradients,0.6189473684210526,0.6381578947368421,0.22960526315789473,0.6865789473684211
3,ig,0.7247368421052631,0.7109210526315789,0.47776315789473683,0.6468421052631579
4,deeplift,0.4942105263157895,0.5180263157894737,0.2801315789473684,0.3707894736842105
