,sci15,sci20,sci5,sci25,sci10,mean-f1,std-f1,mean-ece,std-ece
model,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf_top/scibert15.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf_top/scibert20.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf_top/scibert5.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf_top/scibert25.pt,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/evinf_top/scibert10.pt,0.05103292614731869,0.02787428254112409,0.38067846953041024,0.07471624319264202
f1,0.07700842109092232,0.01837270341207349,0.01837270341207349,0.08300903774587985,0.05840176507564431,0.05103292614731869,0.02787428254112409,0.38067846953041024,0.07471624319264202
loss,32.27835600111219,31.413679038153756,34.20768182542589,33.25561133490668,33.18454433017307,0.05103292614731869,0.02787428254112409,0.38067846953041024,0.07471624319264202
ece-score,0.2802054020265738,0.41084680358568826,0.5000402967135111,0.3291584953251812,0.3831413500010968,0.05103292614731869,0.02787428254112409,0.38067846953041024,0.07471624319264202
