,0,1,2,3,4,5,accuracy,macro avg,weighted avg,epoch,point,dev_loss,model-name
precision,0.2708333333333333,0.0,0.31645569620253167,0.0,0.0,0.0,0.2914285714285714,0.09788150492264418,0.15644213381555155,2,0,12.484371575442227,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/sst_conti/bert20.pt
recall,0.5777777777777777,0.0,0.5208333333333334,0.0,0.0,0.0,0.2914285714285714,0.18310185185185182,0.2914285714285714,2,0,12.484371575442227,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/sst_conti/bert20.pt
f1-score,0.36879432624113473,0.0,0.3937007874015748,0.0,0.0,0.0,0.2914285714285714,0.1270825189404516,0.20281932843500947,2,0,12.484371575442227,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/sst_conti/bert20.pt
support,45.0,43.0,48.0,17.0,21.0,1.0,0.2914285714285714,175.0,175.0,2,0,12.484371575442227,/jmain02/home/J2AD003/txk58/zxz22-txk58/BP-rationales/BP-rationales/trained_models/sst_conti/bert20.pt
